LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1734687905.840503,209336.333,32246,3,GY,1,100,-0.061
1734687905.876169,209372.000,32246,3,GY,1,100,3.540
1734687905.916169,209412.000,32264,3,GY,1,100,2.014
1734687905.956169,209452.000,32264,3,GY,1,100,-2.655
1734687905.996169,209492.000,32264,3,GY,1,100,0.183
1734687906.036168,209532.000,32278,2,GY,1,100,-0.916
1734687906.076168,209572.000,32278,2,GY,1,100,-0.214
1734687906.116168,209612.000,32295,3,GY,1,100,-0.671
1734687906.156168,209652.000,32295,3,GY,1,100,-0.977
1734687906.196167,209692.000,32295,3,GY,1,100,0.092
1734687906.236167,209732.000,32311,2,GY,1,100,0.305
1734687906.276167,209772.000,32311,2,GY,1,100,-0.854
1734687906.316167,209812.000,32329,3,GY,1,100,-0.580
1734687906.356166,209852.000,32329,3,GY,1,100,-0.458
1734687906.396166,209892.000,32329,3,GY,1,100,-0.702
1734687906.436166,209932.000,32343,2,GY,1,100,-1.343
1734687906.476166,209972.000,32343,2,GY,1,100,-0.549
1734687906.516165,210012.000,32360,3,GY,1,100,-0.610
1734687906.556165,210052.000,32360,3,GY,1,100,-0.824
1734687906.596165,210092.000,32360,3,GY,1,100,-0.610
1734687906.636164,210132.000,32377,2,GY,1,100,-0.854
1734687906.676164,210172.000,32377,2,GY,1,100,0.092
1734687906.716164,210212.000,32394,3,GY,1,100,-0.427
1734687906.756164,210252.000,32394,3,GY,1,100,-0.885
1734687906.796163,210292.000,32394,3,GY,1,100,-0.732
1734687906.836163,210332.000,32408,3,GY,1,100,-1.099
1734687906.876163,210372.000,32408,3,GY,1,100,-0.061
1734687906.916162,210412.000,32408,3,GY,1,100,-0.549
1734687906.956162,210452.000,32426,2,GY,1,100,-1.221
1734687906.996162,210492.000,32426,2,GY,1,100,-0.458
1734687907.031828,210527.667,32444,3,GY,1,100,-1.007
1734687907.067495,210563.333,32444,3,GY,1,100,-0.366
1734687907.103161,210599.000,32444,3,GY,1,100,2.533
1734687907.143161,210639.000,32461,3,GY,1,100,0.763
1734687907.183161,210679.000,32461,3,GY,1,100,-0.946
1734687907.223161,210719.000,32461,3,GY,1,100,-1.862
1734687907.262660,210758.500,32476,2,GY,1,100,-0.153
1734687907.302160,210798.000,32476,2,GY,1,100,0.671
1734687907.342160,210838.000,32493,3,GY,1,100,-1.007
1734687907.382159,210878.000,32493,3,GY,1,100,-1.801
1734687907.422159,210918.000,32493,3,GY,1,100,-1.373
1734687907.462159,210958.000,32509,2,GY,1,100,-0.122
1734687907.502159,210998.000,32509,2,GY,1,100,-0.305
1734687907.542158,211038.000,32526,3,GY,1,100,-1.190
1734687907.582158,211078.000,32526,3,GY,1,100,-2.136
1734687907.622158,211118.000,32526,3,GY,1,100,-1.801
