LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1735118212.560891,746279.000,53432,3,AX,1,100,0.965
1735118212.600891,746319.000,53432,3,AX,1,100,0.953
1735118212.640891,746359.000,53432,3,AX,1,100,0.945
1735118212.680891,746399.000,53448,2,AX,1,100,0.963
1735118212.720891,746439.000,53448,2,AX,1,100,0.948
1735118212.760891,746479.000,53463,3,AX,1,100,0.954
1735118212.800891,746519.000,53463,3,AX,1,100,0.953
1735118212.840891,746559.000,53463,3,AX,1,100,0.949
1735118212.880891,746599.000,53480,2,AX,1,100,0.954
1735118212.920891,746639.000,53480,2,AX,1,100,0.949
1735118212.960891,746679.000,53497,3,AX,1,100,0.949
1735118213.000891,746719.000,53497,3,AX,1,100,0.950
1735118213.040891,746759.000,53497,3,AX,1,100,0.952
1735118213.080891,746799.000,53515,2,AX,1,100,0.956
1735118213.120891,746839.000,53515,2,AX,1,100,0.955
1735118213.160892,746879.000,53530,3,AX,1,100,0.949
1735118213.200891,746919.000,53530,3,AX,1,100,0.952
1735118213.240891,746959.000,53530,3,AX,1,100,0.953
1735118213.280891,746999.000,53547,2,AX,1,100,0.953
1735118213.320891,747039.000,53547,2,AX,1,100,0.951
1735118213.360892,747079.000,53564,3,AX,1,100,0.954
1735118213.400892,747119.000,53564,3,AX,1,100,0.951
1735118213.440892,747159.000,53564,3,AX,1,100,0.952
1735118213.476225,747194.333,53582,3,AX,1,100,0.950
1735118213.511558,747229.667,53582,3,AX,1,100,0.948
1735118213.546891,747265.000,53582,3,AX,1,100,0.952
1735118213.586891,747305.000,53598,2,AX,1,100,0.952
1735118213.626892,747345.000,53598,2,AX,1,100,0.949
1735118213.666892,747385.000,53614,3,AX,1,100,0.954
1735118213.706892,747425.000,53614,3,AX,1,100,0.951
1735118213.746891,747465.000,53614,3,AX,1,100,0.951
1735118213.786891,747505.000,53631,2,AX,1,100,0.953
1735118213.826892,747545.000,53631,2,AX,1,100,0.951
1735118213.866892,747585.000,53650,3,AX,1,100,0.957
1735118213.906892,747625.000,53650,3,AX,1,100,0.954
1735118213.946892,747665.000,53650,3,AX,1,100,0.955
