LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1734686322.559735,598991.000,30326,3,AY,1,100,-0.025
1734686322.599736,599031.000,30326,3,AY,1,100,-0.023
1734686322.639738,599071.000,30326,3,AY,1,100,-0.023
1734686322.679739,599111.000,30344,2,AY,1,100,-0.023
1734686322.719741,599151.000,30344,2,AY,1,100,-0.030
1734686322.755409,599186.667,30360,3,AY,1,100,-0.028
1734686322.791077,599222.333,30360,3,AY,1,100,-0.025
1734686322.826745,599258.000,30360,3,AY,1,100,-0.024
1734686322.866746,599298.000,30376,3,AY,1,100,-0.022
1734686322.906748,599338.000,30376,3,AY,1,100,-0.027
1734686322.946749,599378.000,30376,3,AY,1,100,-0.025
1734686322.986751,599418.000,30393,2,AY,1,100,-0.024
1734686323.026752,599458.000,30393,2,AY,1,100,-0.022
1734686323.066754,599498.000,30410,3,AY,1,100,-0.024
1734686323.106755,599538.000,30410,3,AY,1,100,-0.025
1734686323.146757,599578.000,30410,3,AY,1,100,-0.027
1734686323.186759,599618.000,30425,2,AY,1,100,-0.024
1734686323.226760,599658.000,30425,2,AY,1,100,-0.033
1734686323.266762,599698.000,30441,3,AY,1,100,-0.021
1734686323.306763,599738.000,30441,3,AY,1,100,-0.013
1734686323.346765,599778.000,30441,3,AY,1,100,-0.029
1734686323.386766,599818.000,30458,2,AY,1,100,-0.030
1734686323.426768,599858.000,30458,2,AY,1,100,-0.020
1734686323.466769,599898.000,30477,3,AY,1,100,-0.017
1734686323.506770,599938.000,30477,3,AY,1,100,-0.030
1734686323.546772,599978.000,30477,3,AY,1,100,-0.020
1734686323.586773,600018.000,30493,2,AY,1,100,-0.023
1734686323.626775,600058.000,30493,2,AY,1,100,-0.016
1734686323.666776,600098.000,30508,3,AY,1,100,-0.019
1734686323.706778,600138.000,30508,3,AY,1,100,-0.022
1734686323.746779,600178.000,30508,3,AY,1,100,-0.015
1734686323.786781,600218.000,30526,2,AY,1,100,-0.017
1734686323.826782,600258.000,30526,2,AY,1,100,-0.034
1734686323.862451,600293.667,30542,3,AY,1,100,-0.046
1734686323.898118,600329.333,30542,3,AY,1,100,-0.063
1734686323.933787,600365.000,30542,3,AY,1,100,-0.057
1734686323.973788,600405.000,30559,3,AY,1,100,-0.043
1734686324.013789,600445.000,30559,3,AY,1,100,-0.041
1734686324.053791,600485.000,30559,3,AY,1,100,-0.030
1734686324.093543,600524.750,30582,4,AY,1,100,-0.022
1734686324.133294,600564.500,30582,4,AY,1,100,-0.033
1734686324.173045,600604.250,30582,4,AY,1,100,-0.033
1734686324.212797,600644.000,30582,4,AY,1,100,-0.031
1734686324.252799,600684.000,30597,2,AY,1,100,-0.043
1734686324.292800,600724.000,30597,2,AY,1,100,-0.048
1734686324.332802,600764.000,30615,3,AY,1,100,-0.063
1734686324.372803,600804.000,30615,3,AY,1,100,-0.057
1734686324.412805,600844.000,30615,3,AY,1,100,-0.041
1734686324.452806,600884.000,30632,3,AY,1,100,-0.040
1734686324.492808,600924.000,30632,3,AY,1,100,-0.039
1734686324.532809,600964.000,30632,3,AY,1,100,-0.050
1734686324.572810,601004.000,30649,2,AY,1,100,-0.060
1734686324.612812,601044.000,30649,2,AY,1,100,-0.062
1734686324.652813,601084.000,30665,3,AY,1,100,-0.046
1734686324.692815,601124.000,30665,3,AY,1,100,-0.037
1734686324.732816,601164.000,30665,3,AY,1,100,-0.045
1734686324.773318,601204.500,30681,2,AY,1,100,-0.052
1734686324.813820,601245.000,30681,2,AY,1,100,-0.060
1734686324.853488,601284.667,30697,3,AY,1,100,-0.047
1734686324.893156,601324.333,30697,3,AY,1,100,-0.042
1734686324.932824,601364.000,30697,3,AY,1,100,-0.044
1734686324.972826,601404.000,30714,2,AY,1,100,-0.032
1734686325.012827,601444.000,30714,2,AY,1,100,-0.052
1734686325.048495,601479.667,30731,3,AY,1,100,-0.077
1734686325.084163,601515.333,30731,3,AY,1,100,-0.070
1734686325.119831,601551.000,30731,3,AY,1,100,-0.048
1734686325.159832,601591.000,30748,3,AY,1,100,-0.046
1734686325.199834,601631.000,30748,3,AY,1,100,-0.052
1734686325.239836,601671.000,30748,3,AY,1,100,-0.062
1734686325.279837,601711.000,30764,2,AY,1,100,-0.067
1734686325.319839,601751.000,30764,2,AY,1,100,-0.054
1734686325.359840,601791.000,30783,3,AY,1,100,-0.060
1734686325.399842,601831.000,30783,3,AY,1,100,-0.046
1734686325.439843,601871.000,30783,3,AY,1,100,-0.058
1734686325.479845,601911.000,30800,2,AY,1,100,-0.073
1734686325.519846,601951.000,30800,2,AY,1,100,-0.067
1734686325.559848,601991.000,30815,3,AY,1,100,-0.051
1734686325.599849,602031.000,30815,3,AY,1,100,-0.051
1734686325.639851,602071.000,30815,3,AY,1,100,-0.049
1734686325.679852,602111.000,30833,2,AY,1,100,-0.051
1734686325.719854,602151.000,30833,2,AY,1,100,-0.056
1734686325.759855,602191.000,30851,3,AY,1,100,-0.054
1734686325.799857,602231.000,30851,3,AY,1,100,-0.059
1734686325.839858,602271.000,30851,3,AY,1,100,-0.055
1734686325.879860,602311.000,30867,2,AY,1,100,-0.036
1734686325.919861,602351.000,30867,2,AY,1,100,-0.040
1734686325.959863,602391.000,30882,3,AY,1,100,-0.044
1734686325.999864,602431.000,30882,3,AY,1,100,-0.068
1734686326.039866,602471.000,30882,3,AY,1,100,-0.067
1734686326.079867,602511.000,30899,3,AY,1,100,-0.060
1734686326.119869,602551.000,30899,3,AY,1,100,-0.065
1734686326.159870,602591.000,30899,3,AY,1,100,-0.066
1734686326.199872,602631.000,30916,2,AY,1,100,-0.060
1734686326.239873,602671.000,30916,2,AY,1,100,-0.063
1734686326.275541,602706.667,30932,3,AY,1,100,-0.065
1734686326.311209,602742.333,30932,3,AY,1,100,-0.069
1734686326.346877,602778.000,30932,3,AY,1,100,-0.076
1734686326.386879,602818.000,30948,2,AY,1,100,-0.074
1734686326.426880,602858.000,30948,2,AY,1,100,-0.067
1734686326.466882,602898.000,30964,3,AY,1,100,-0.062
1734686326.506883,602938.000,30964,3,AY,1,100,-0.065
1734686326.546885,602978.000,30964,3,AY,1,100,-0.055
1734686326.586886,603018.000,30981,3,AY,1,100,-0.041
1734686326.626888,603058.000,30981,3,AY,1,100,-0.055
1734686326.666889,603098.000,30981,3,AY,1,100,-0.059
