LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1735118513.811000,1047528.000,37025,2,GX,1,100,-1.923
1735118513.851000,1047568.000,37043,4,GX,1,100,-2.136
1735118513.891000,1047608.000,37043,4,GX,1,100,0.580
1735118513.931000,1047648.000,37043,4,GX,1,100,-0.458
1735118513.971000,1047688.000,37043,4,GX,1,100,-0.610
1735118514.011000,1047728.000,37059,2,GX,1,100,-0.397
1735118514.051000,1047768.000,37059,2,GX,1,100,-1.068
1735118514.091000,1047808.000,37076,3,GX,1,100,0.366
1735118514.131000,1047848.000,37076,3,GX,1,100,1.160
1735118514.171000,1047888.000,37076,3,GX,1,100,-0.610
1735118514.211000,1047928.000,37091,2,GX,1,100,-1.251
1735118514.251000,1047968.000,37091,2,GX,1,100,1.068
1735118514.291000,1048008.000,37108,3,GX,1,100,0.977
1735118514.331000,1048048.000,37108,3,GX,1,100,0.122
1735118514.371000,1048088.000,37108,3,GX,1,100,-1.007
1735118514.411000,1048128.000,37126,3,GX,1,100,-1.312
1735118514.451000,1048168.000,37126,3,GX,1,100,0.061
1735118514.491000,1048208.000,37126,3,GX,1,100,1.587
1735118514.531001,1048248.000,37144,2,GX,1,100,2.045
1735118514.571001,1048288.000,37144,2,GX,1,100,-1.160
1735118514.606667,1048323.667,37158,3,GX,1,100,-1.526
1735118514.642334,1048359.333,37158,3,GX,1,100,-0.397
1735118514.678001,1048395.000,37158,3,GX,1,100,0.183
1735118514.718001,1048435.000,37175,2,GX,1,100,-0.397
1735118514.758001,1048475.000,37175,2,GX,1,100,0.092
1735118514.798001,1048515.000,37191,3,GX,1,100,0.427
1735118514.838001,1048555.000,37191,3,GX,1,100,-0.671
1735118514.878001,1048595.000,37191,3,GX,1,100,-1.556
1735118514.918001,1048635.000,37209,2,GX,1,100,0.458
1735118514.958001,1048675.000,37209,2,GX,1,100,0.946
1735118514.998001,1048715.000,37223,3,GX,1,100,-0.732
1735118515.038001,1048755.000,37223,3,GX,1,100,0.610
1735118515.078001,1048795.000,37223,3,GX,1,100,0.610
1735118515.118335,1048835.333,37240,3,GX,1,100,-0.977
1735118515.158668,1048875.667,37240,3,GX,1,100,-0.275
1735118515.199002,1048916.000,37240,3,GX,1,100,1.129
1735118515.238502,1048955.500,37257,2,GX,1,100,0.366
1735118515.278002,1048995.000,37257,2,GX,1,100,-1.160
1735118515.318002,1049035.000,37274,3,GX,1,100,-1.160
1735118515.358002,1049075.000,37274,3,GX,1,100,0.885
1735118515.398002,1049115.000,37274,3,GX,1,100,0.977
1735118515.438002,1049155.000,37290,2,GX,1,100,-0.031
1735118515.478002,1049195.000,37290,2,GX,1,100,-0.671
1735118515.518002,1049235.000,37308,3,GX,1,100,0.183
1735118515.558002,1049275.000,37308,3,GX,1,100,-0.641
