LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1735118679.930241,1213647.000,64056,4,DC,2,100,1
1735118679.955741,1213672.500,64074,4,DC,2,100,EA
1735118679.981241,1213698.000,64074,4,DC,2,100,2
1735118680.006741,1213723.500,64074,4,DC,2,100,EL
1735118680.032241,1213749.000,64074,4,DC,2,100,2
1735118680.057241,1213774.000,64091,4,DC,2,100,EA
1735118680.082241,1213799.000,64091,4,DC,2,100,1
1735118680.107241,1213824.000,64091,4,DC,2,100,EL
1735118680.132241,1213849.000,64091,4,DC,2,100,1
1735118680.158491,1213875.250,64108,4,DC,2,100,EA
1735118680.184741,1213901.500,64108,4,DC,2,100,2
1735118680.210991,1213927.750,64108,4,DC,2,100,EL
1735118680.237241,1213954.000,64108,4,DC,2,100,2
1735118680.261741,1213978.500,64125,4,DC,2,100,EA
1735118680.286241,1214003.000,64125,4,DC,2,100,1
1735118680.310741,1214027.500,64125,4,DC,2,100,EL
1735118680.335241,1214052.000,64125,4,DC,2,100,1
1735118680.360741,1214077.500,64143,4,DC,2,100,EA
1735118680.386241,1214103.000,64143,4,DC,2,100,2
1735118680.411741,1214128.500,64143,4,DC,2,100,EL
1735118680.437242,1214154.000,64143,4,DC,2,100,2
1735118680.462241,1214179.000,64160,4,DC,2,100,EA
1735118680.487242,1214204.000,64160,4,DC,2,100,1
1735118680.512242,1214229.000,64160,4,DC,2,100,EL
1735118680.537242,1214254.000,64160,4,DC,2,100,1
1735118680.562992,1214279.750,64177,4,DC,2,100,EA
1735118680.588742,1214305.500,64177,4,DC,2,100,2
1735118680.614492,1214331.250,64177,4,DC,2,100,EL
1735118680.640242,1214357.000,64177,4,DC,2,100,2
1735118680.665992,1214382.750,64194,4,DC,2,100,EA
1735118680.691742,1214408.500,64194,4,DC,2,100,1
1735118680.717492,1214434.250,64194,4,DC,2,100,EL
1735118680.743242,1214460.000,64194,4,DC,2,100,1
1735118680.767742,1214484.500,64212,4,DC,2,100,EA
1735118680.792242,1214509.000,64212,4,DC,2,100,2
1735118680.816742,1214533.500,64212,4,DC,2,100,EL
1735118680.841242,1214558.000,64212,4,DC,2,100,2
1735118680.866742,1214583.500,64230,4,DC,2,100,EA
1735118680.892242,1214609.000,64230,4,DC,2,100,1
1735118680.917742,1214634.500,64230,4,DC,2,100,EL
1735118680.943242,1214660.000,64230,4,DC,2,100,1
1735118680.968742,1214685.500,64246,4,DC,2,100,EA
1735118680.994242,1214711.000,64246,4,DC,2,100,2
1735118681.019742,1214736.500,64246,4,DC,2,100,EL
