LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1734686992.278136,1268711.000,8185,3,AZ,1,100,0.229
1734686992.318135,1268751.000,8200,2,AZ,1,100,0.227
1734686992.358134,1268791.000,8200,2,AZ,1,100,0.223
1734686992.398133,1268831.000,8217,3,AZ,1,100,0.221
1734686992.438133,1268871.000,8217,3,AZ,1,100,0.224
1734686992.478132,1268911.000,8217,3,AZ,1,100,0.230
1734686992.518131,1268951.000,8236,2,AZ,1,100,0.220
1734686992.558130,1268991.000,8236,2,AZ,1,100,0.231
1734686992.598129,1269031.000,8252,3,AZ,1,100,0.216
1734686992.638129,1269071.000,8252,3,AZ,1,100,0.234
1734686992.678128,1269111.000,8252,3,AZ,1,100,0.222
1734686992.718127,1269151.000,8269,2,AZ,1,100,0.222
1734686992.758126,1269191.000,8269,2,AZ,1,100,0.234
1734686992.793792,1269226.667,8284,3,AZ,1,100,0.229
1734686992.829458,1269262.333,8284,3,AZ,1,100,0.227
1734686992.865124,1269298.000,8284,3,AZ,1,100,0.191
